"U.S. AMERICAN 
LIFT-SERVED 
Eaglecrest,U.S. - Alaska,"1,620",,,640,350,Yes,,Independent,,640,,,,"Indy, Powder Alliance, Freedom","Indy+ 2, Indy Base 2, Powder Alliance 3, Freedom 3",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$630,$870,N/A,No,View reciprocal partners here
Hillberg,U.S. - Alaska,263,,,,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$329*,$329*,N/A,No,*Non-member price; members price discounted; Located at Joint Military Base Elmendorf Richardson
Hilltop,U.S. - Alaska,294,,,30,76,,,Independent,,25,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$610,$610,N/A,No,
Homer Rope Tow,U.S. - Alaska,260,,,20,N/A,,,Independent,,,,,,,,No,Yes,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$110,$110,N/A,No,
Iceman Falls,U.S. - Alaska,300,,,,N/A,,,Independent,,,,,,,,No,Yes,Yes,No,Yes,Yes,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Private ski area for Eielson Air Force Base
Moose Mountain,U.S. - Alaska,"1,300",,,750,100,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$500,$600,N/A,No,
Mount Eyak,U.S. - Alaska,800,,,100,350,,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$180,$180,N/A,No,
Skeetawk,U.S. - Alaska,300,,,30,N/A,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$499,$499,N/A,N/A,$474,$499,N/A,No,View reciprocal partners here.
Ski Land,U.S. - Alaska,"1,027",,,100,300,,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$500,$550,No,8/31,$475,$550,N/A,No,
AK,,,,,"3,600",,,,,,,,,,,,10,2,10,2,12,12,,,,,,,,,,,,,,0,
ARIZONA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Snowbowl,U.S. - Arizona,"2,800",,,777,260,Yes,,Mountain Capital Partners,2015,777,,,,Power,Power U | Select 12SB | Core 4SB,Yes,No,Yes,No,Yes,Yes,,$749,$749,NO,N/A,YES,$749,$849,No,N/A,$749,"$1,249",Yes,No,Access details here.
Elk Ridge,U.S. - Arizona,600,,,37,150,,,Mountain Capital Partners,2017,,Williams Ski Area,,,,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Has not operated in several years.
Mt. Lemmon Ski Valley ,U.S. - Arizona,950,,,200,180,No,,Independent,,,,,,,,Yes,No,Yes,No,Yes,No,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page.
Sunrise Park,U.S. - Arizona,"1,800",,,"1,200",250,Yes,,Independent,,800,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$459*,$689,N/A,No,
AZ,,,,,"2,214",,,,,,,,,,,,3,0,3,0,3,2,,,,,,,,,,,,,,0,
CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alta Sierra,U.S. - California,600,,,80,80,No,,Independent,,,Shirley Meadows,,,,,Yes,No,Yes,No,Yes,No,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page.
Badger Pass,U.S. - California,800,,,90,300,No,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,Yes,No,,,,,,,$500,$500,N/A,N/A,$469,$469,N/A,No,"Did not open in 2024-25 ""due to lack of early-season snow""; Track operations via Facebook page."
Bear Mountain (Big Bear),U.S. - California,"1,665",,,198,100,Yes,,Alterra ,2017,674,,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$619,$619,$599,4/15,YES,$599,$699,No,N/A,$569,$669,Yes,No,Unlimited access also included on Ikon Base Pass
Bear Valley,U.S. - California,"1,900",,,"1,680",359,Yes,,California Mountain Resort Company,2023,,Mt. Reba at Bear Valley,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$574,$574,$524,4/30,YES,$549,$599,No,10/31,$563,$663,Y,No,"Unlimited acaccess also included on Cali Pass with Bear Valley, Dodge Ridge, China Peak, Mountain High; Powder Alliance only available with with Cali Pass upgrade"
Boreal,U.S. - California,500,,,380,400,Yes,,Powdr,1995,380,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$579,$579,N/A,N/A,$549,$629,N/A,No,1 day at Soda Springs
Buckhorn,U.S. - California,680,,,40,N/A,No,,Independent,,,,,,,,No,Yes,No,w/o Lifts,w/o Lifts,w/o Lifts,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,NO PUBLIC PASS,No,Track operations via Facebook page.
Cedar Pass,U.S. - California,400,,,100,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,No,No,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,"2/7/2025 Facebook post said ""not opening this year. We have some things to take care of before we can open."" track operations via Facebook page."
China Peak,U.S. - California,"1,679",,,"1,200",300,Yes,,California Mountain Resort Company,2022,200,Sierra Summit,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$574,$574,$524,4/30,YES,$549,$599,$499 (ended),10/31,$499,$849,Yes,No,"Unlimited acaccess also included on Cali Pass with Bear Valley, Dodge Ridge, China Peak, Mountain High; Powder Alliance only available with with Cali Pass upgrade"
Coppervale,U.S. - California,740,,,80,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,*Student season pass $175; track operations via Facebook page; open 2/21-22 2025
Dodge Ridge,U.S. - California,"1,600",,,862,300,Yes,2 guns by carpet,California Mountain Resort Company,2021,550,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$574,$574,$524,4/30,YES,$549,$599,$499 (ended),10/31,$549,$849,Yes,No,"Unlimited acaccess also included on Cali Pass with Bear Valley, Dodge Ridge, China Peak, Mountain High; Powder Alliance only available with with Cali Pass upgrade"
Donner Ski Ranch,U.S. - California,750,,,460,396,Yes,"Minimal ""a few modern self-contained fan guns that we rarely use.""",Independent,,360,,,,,,Yes,No,Yes,No,Yes,Yes,,$599,$599,NO,N/A,NO,$599,$599,No,N/A,$499,$599,Yes,No,
Granlibakken,U.S. - California,200,,,25,170,Yes,,Independent,,10,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,
Heavenly,U.S. - California,"3,500",,,"4,800",360,Yes,,Vail Resorts,2002,"4,800",,,,Epic,Epic U | Local UB | Tahoe L UB | Tahoe V UB | Day All/32,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",NO,N/A,NO,$982,"$1,004",No,N/A,$909,"$1,025",No,Yes,Access details here
Homewood,U.S. - California,"1,650",,,"1,260",450,Y-N/A,,JMA Ventures,2006,"1,200",,,,,,N/A,N/A,Y-N/A,No,Yes,No,,,,,,,N/A,N/A,N/A,N/A,$849,"$1,099",N/A,No,"Will not operate for 2024-25, citing delays over masterplan approval"
June Mountain,U.S. - California,"2,590",,,"1,500",250,,,Alterra ,2017,,,,,Ikon,Ikon U | Base UB | Session B,Yes,No,Yes,No,Yes,Yes,,$629,$629,NO,N/A,NO,$599,$699,No,N/A,$559,$659,N/A,No,Unlimited access also included on Ikon
Kingvale,U.S. - California,150,,,50,25,,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,$249.99,$299.99,N/A,N/A,$249.99,$299.99,N/A,No,
Kirkwood,U.S. - California,"2,000",,,"2,300",354,Yes,,Vail Resorts,2012,"2,000",,,,Epic,Epic U | Local UB | Tahoe L UB | Tahoe V UBSa | Day All/32,Yes,No,Yes,No,Yes,Yes,,$665,$665,NO,N/A,NO,$621,$647,No,N/A,$575,$654,No,Yes,Unlimited access also included on Epic.
Mammoth,U.S. - California,"3,100",,,"3,500",400,Yes,,Alterra ,2017,"3,500",,,,Ikon,Ikon U | Base UB | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,329","$1,329","$1,229",N/A,YES,"$1,249","$1,359","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Yes,Access details here
Mt. Baldy,U.S. - California,"2,100",,,800,170,Yes,,Independent,,400,,,,,,Yes,No,Yes,No,Yes,Yes,,$704,$704,$454,N/A,YES,$699,$699,No,N/A,$799,$799,Yes,Yes,"*Price is for ""Annual Pass,"" which includes ski + other activities"
Mt. Shasta,U.S. - California,"2,036",,,635,157,Yes,,Independent,,400,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2B, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$499,$499,NO,N/A,NO,$399,$499,No,6/30,$399,$699,No,No,View current reciprocal partner list.
Mt. Waterman,U.S. - California,"1,030",,,150,180,N-N/A,,Independent,,,,,,,,N/A,N/A,Y-N/A,No,Yes,No,,,,,,,$300,$300,No,N/A,N/A,N/A,No,Summer,Track operations via Facebook page.
Mountain High: East,U.S. - California,"1,600",,,145,117,Yes,,California Mountain Resort Company,2017,,Holiday Hill,,,"Indy, Powder Alliance","Indy+ 2S, Indy Base 2S, Powder Alliance 3SB",Yes,No,Yes,No,Yes,Yes,,$574,$574,$524,4/30,YES,$549,$599,$499 (ended),10/31,$549,$849,N/A,Yes,"Unlimited acaccess also included on Cali Pass with Bear Valley, Dodge Ridge, China Peak, Mountain High; Powder Alliance only available with with Cali Pass upgrade"
Mountain  High: West,U.S. - California,"1,000",,,145,117,Yes,,California Mountain Resort Company,2017,205,Blue Ridge,,,"Indy, Powder Alliance","Indy+ 2S, Indy Base 2S, Powder Alliance 3SB",Yes,No,Yes,No,Yes,Yes,,$574,$574,$524,4/30,YES,$549,$599,$499 (ended),10/31,$549,$849,N/A,Yes,"Unlimited acaccess also included on Cali Pass with Bear Valley, Dodge Ridge, China Peak, Mountain High; Powder Alliance only available with with Cali Pass upgrade"
Mountain High: North,,,,,,,N-N/A,,California Mountain Resort Company,2017,,"Table Mountain, Sunlight",,,,,N/A,N/A,Y-N/A,N-N/A,No,No,No,,,,,,,,,,,,,Summer,
Northstar,U.S. - California,"2,280",,,"3,170",350,Yes,,Vail Resorts,2010,"1,800",Northstar-at-Tahoe,https://skimap.org/skiareas/view/531,,Epic,Epic U | Local UB | Tahoe L UB | Tahoe V UBSa | Day All/32,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",NO,N/A,NO,$982,"$1,004",No,N/A,$909,"$1,025",No,Yes,Access details here
Palisades Tahoe,U.S. - California,"2,850",,,"6,000",400,Yes,,Alterra ,2017,"4,000",Squaw Valley [Alpine Meadows],https://skimap.org/skiareas/view/538,https://liftblog.com/squaw-valley-ca/,Ikon,Ikon U | Base UB | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,329","$1,329","$1,229",N/A,YES,"$1,249","$1,359","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Yes,Access details here
Plumas Ski Club (Eureka),U.S. - California,N/A,,,,N/A,,,Independent,,,,,,,,N/A,N/A,N-N/A,Y-N/A,w/o Lifts,No,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,In process of installing ropetow
Sierra-at-Tahoe,U.S. - California,"2,212",,,"2,000",480,Yes,,Independent,,"2,000",Sierra Ski Ranch,,,"Ikon, Powder Alliance, Left Epic","Ikon 7 | Base 5B | Session B, Powder Alliance 3B",Yes,No,Yes,No,Yes,Yes,,$529,$529,NO,N/A,YES,$529,$629,$499 (ended),N/A,$499,$699,N/A,No,
Snow Summit (Big Bear),U.S. - California,"1,200",,,240,100,Yes,,Alterra ,2017,,,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$619,$619,$599,4/15,YES,$599,$699,No,N/A,$569,$669,Yes,No,Unlimited access also included on Ikon Base Pass
Snow Valley,U.S. - California,"1,041",,,240,160,Yes,,Alterra ,2023,,,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$399,$399,NO,N/A,YES,$379,$459,No,N/A,$329,$359,Yes,Yes,Unlimited access also included on Ikon Base Pass and Big Bear Pass
Soda Springs,U.S. - California,550,,,200,400,Yes,,Powdr,1995,200,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$319,$319,N/A,9/30,$229,$289,N/A,No,
Sugar Bowl,U.S. - California,"1,500",,,"1,650",500,Yes,,Independent,,"1,000",,,,Mountain Collective,MC 2,Yes,No,Yes,No,Yes,Yes,,"$1,199","$1,199",NO,N/A,NO,"$1,099","$1,199",N/A,5/31,$999,"$1,299",With Switch Pass,No,
Tahoe Donner,U.S. - California,600,,,120,400,Yes,,Independent,,120,,,,,,Yes,No,Yes,No,Yes,Yes,,$400*,$400*,NO,N/A,NO,$400*,$400*,N/A,N/A,$595*,$758*,N/A,No,*Member price - general public passes not yet on sale
CA,,,,,34100,,,,,,,,,,,,26,1,23,3,29,25,,,,,,,,,,,,,,9,
COLORADO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arapahoe Basin,U.S. - Colorado,"1,695","10,780","12,475","1,428",350,Yes,,Alterra ,2024,490,,,,"Ikon, Left Epic",Ikon U | Base 5 | Session B,Yes,No,Yes,No,Yes,Yes,,$659,$659,$559,OS-3/12,NO,$659,$659,$559,N/A,$649,N/A,N/A,Summer,
Aspen Highlands,U.S. - Colorado,"3,635","8,040","11,675","1,010",300,Yes,,Aspen Skiing Company,1993,597,,,,"Ikon, Mountain Collective","Ikon 7S, MC 2S",Yes,No,Yes,No,Yes,Yes,,,,,,,"$2,974","$3,599",N/A,N/A,"$2,649","$3,314",N/A,Yes,"Unlimited access: Aspen Mountain, Aspen Highlands, Snowmass, Buttermilk; Includes Ikon Base Pass - view access here"
Aspen Mountain,U.S. - Colorado,"3,267","7,945","11,262",826,300,Yes,,Aspen Skiing Company,1947,631,,,,"Ikon, Mountain Collective","Ikon 7S, MC 2S",Yes,No,Yes,No,Yes,Yes,,,,,,,"$2,974","$3,599",N/A,N/A,"$2,649","$3,314",N/A,Yes,"Unlimited access: Aspen Mountain, Aspen Highlands, Snowmass, Buttermilk; Includes Ikon Base Pass - view access here"
Beaver Creek,U.S. - Colorado,"3,340",,,"2,082",325,Yes,,Vail Resorts,1980,"1,125",[Arrowhead],,,Epic,Epic U | Local 10SB | Tahoe L 5SB | Day All,Yes,No,Yes,No,Yes,Yes,,"$1,051","$1,051",NO,N/A,NO,$982,"$1,004",No,N/A,$909,"$1,025",No,Yes,Access details here
Breckenridge,U.S. - Colorado,"3,398",,,"2,908",355,Yes,,Vail Resorts,1997,"1,915",,,,Epic,Epic/Local U | Tahoe L 5SB | Summit V UB | Key+ A | Day All,Yes,No,Yes,No,Yes,Yes,,$783,$783,NO,N/A,NO,$731,$746,No,N/A,$676,$795,No,Yes,Access details here
Buttermilk,U.S. - Colorado,"2,030",,,435,200,Yes,,Aspen Skiing Company,1958,410,Tiehack,,,"Ikon, Mountain Collective","Ikon 7S, MC 2S",Yes,No,Yes,No,Yes,Yes,,,,,,,"$2,974","$3,599",N/A,N/A,"$2,649","$3,314",N/A,Yes,"Unlimited access: Aspen Mountain, Aspen Highlands, Snowmass, Buttermilk; Includes Ikon Base Pass - view access here"
Chapman,U.S. - Colorado,N/A,,,7,71,Yes,,Independent,,,,,,,Mountain Collective 2S,Yes,No,No,Yes,Yes,Yes,,,,,,,$100,$128,N/A,N/A,$100,$128,N/A,No,
Copper Mountain,U.S. - Colorado,"2,738",,,"2,538",305,Yes,,Powdr,2009,"1,360",,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,,$849,$849,$809,5/6,NO,$809,$809,$759,N/A,$799,$899,N/A,Yes,Unlimited access also available on Ikon
Cranor Hill,U.S. - Colorado,305,,,,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,$80*,$80*,N/A,No,*$75 for Community Center members
Crested Butte,U.S. - Colorado,"2,775",,,"1,547",234,Yes,,Vail Resorts,2018,"1,160",,,,Epic,Epic/Local U | Tahoe L 5SB | Key+ 5B | Day All/32,Yes,No,Yes,No,Yes,Yes,,$783,$783,NO,N/A,NO,$731,$746,No,N/A,$676,$795,No,Yes,Access details here
Cuchara,U.S. - Colorado,N/A,,,30,N/A,,,Independent,,330,,,,,,N/A,N/A,Y-N/A,No,w/o Lifts,w/o Lifts,,,,,,,,,,,,,,No,"Received grants that will help reactivate chairlift, possibly by early 2025"
Echo Mountain,U.S. - Colorado,600,,,60,150,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,Yes,,,NO,OS-Summer,YES,N/A,N/A,N/A,N/A,$329,$369,N/A,No,Indy add-on available
Eldora,U.S. - Colorado,"1,400",,,680,300,Yes,,Powdr,2016,386,,,,Ikon,Ikon/Base U | Session B,Yes,No,Yes,No,Yes,Yes,Yes,$769,$769,NO,N/A,NO,$699,$799,N/A,N/A,$679,$769,N/A,Yes,Unlimited access also available on Ikon
Frisco,U.S. - Colorado,N/A,,,,N/A,Yes,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,Yes,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,
Granby Ranch,U.S. - Colorado,"1,000",,,406,120,Yes,,Independent,,,Silver Creek,https://skimap.org/skiareas/view/516,https://liftblog.com/granby-ranch-co/,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,Yes,$619,$619,$599,,,$604,$609,$579,N/A,$584,$619,N/A,No,
Hesperus,U.S. - Colorado,700,,,60,150,No,,Mountain Capital Partners,2016,,,,,Power,,N/A,N/A,Y-N/A,No,No,No,No,,,,,,N/A,N/A,N/A,N/A,$299,$599,N/A,No,Main chairlift failed in 2023; will not re-open until MCP can install snowmaking
Hoedown Hill,U.S. - Colorado,130,,,12,24,Yes,,Independent,,,,,,Indy,"Indy+ 2, Indy Base 2",Yes,No,No,Yes,Yes,Yes,,,,,,NO,$399,$499,NO,N/A,NO PASS,NO PASS,NO PASS,No,
Howelsen Hill,U.S. - Colorado,440,,,50,170,Yes,,Independent,,70,,https://skimap.org/skiareas/view/498,,Indy,"Indy+ 2, Indy Base 2",Yes,No,Yes,No,Yes,Yes,Yes,,,,,,N/A,$290,N/A,N/A,$279,$279,N/A,Summer,
Kendall Mountain,U.S. - Colorado,240,,,16,200,No,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,Yes,,,,,,N/A,$216,N/A,N/A,$144,$180,N/A,No,
Keystone,U.S. - Colorado,"3,128",,,"3,149",235,Yes,,Vail Resorts,1997,"1,737",,,,Epic,Epic/Local U | Tahoe L 5SB | Summit V U | Key+ UB | Day All/32,Yes,No,Yes,No,Yes,Yes,,$632,$632,NO,N/A,NO,$590,$602,No,N/A,$546,$626,No,Yes,Access details here
Lake City,U.S. - Colorado,250,,,14,N/A,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,,,,,,N/A,$150,N/A,N/A,N/A,N/A,N/A,No,Track operations via Facebook page.
Lee's,U.S. - Colorado,75,,,2,134,No,,Independent,,,,,,,,Yes,No,No,Yes,Yes,Yes,,NO PASS,NO PASS,NO PASS,NO PASS,,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,NO PASS,No,Track operations via Facebook page.
Loveland,U.S. - Colorado,"2,210",,,"1,800",422,Yes,,Independent,,836,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3SB",Yes,No,Yes,No,Yes,Yes,,,,,,,$599,$699,$549,6/2,$589,$649,Yes,No,View reciprocal partners here.
Loveland Valley,U.S. - Colorado,819,,,,N/A,Yes,,Independent,,,,,,"Indy, Powder Alliance","Indy+ 2, Indy Base 2, Powder Alliance 3SB",Yes,No,Yes,No,Yes,Yes,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,"Smaller part of Loveland ski area, not accessible by skis or lift so counted as separate ski area here."
Monarch,U.S. - Colorado,"1,162",,,"1,177",350,No,,Independent,,670,,,,Power,Power/Select/Core 3,Yes,No,Yes,No,Yes,Yes,,$699,$699,$499,N/A,YES,$659,$549,$499,5/29,$479,$629,Yes,No,View reciprocal partners here.
Powderhorn,U.S. - Colorado,"1,650",,,"1,600",250,Yes,,Pacific Group Resorts,2018,300,,,,Indy,"Indy+ 2, Indy Base 2B",Yes,No,Yes,No,Yes,Yes,,$429,$429,NO,4/7,NO,$429,$520,No,9/2,$399,$699,N/A,No,"Unlimited Wisp, Powderhorn, Ragged, Wintergreen; 4 days at Jay Peak and 7 days at Mt. Washington Alpine Resort (BC) - view additional reciprocal partners here."
Purgatory,U.S. - Colorado,"2,029",,,"1,635",260,Yes,,Mountain Capital Partners,2015,722,Durango,,,Power,Power U | Select 12SB | Core 4SB,Yes,No,Yes,No,Yes,Yes,,$749,$749,NO,N/A,YES,$749,$849,No,N/A,$749,"$1,249",Yes,No,Access details here.
Silverton (unguided),U.S. - Colorado,"1,900",,,"1,819",400,No,,Independent,,,,,,,,Yes,No,Yes,No,Yes,Yes,,,,,,,$249,$299,N/A,9/30,$199,$699,N/A,No,Upgrade to Premium Pass for reciprocal partners - view list here.
Ski Cooper,U.S. - Colorado,"1,200",,,480,260,No,,Independent,,385,,,,"Powder Alliance, Freedom","Powder Alliance 3, Freedom 3",Yes,No,Yes,No,Yes,Yes,,,,,,,$429,$599,N/A,N/A,$379,$579,N/A,No,View reciprocal partners here.
Snowmass,U.S. - Colorado,"4,406",,,"3,342",300,Yes,,Aspen Skiing Company,1967,"2,500",,,,"Ikon, Mountain Collective","Ikon 7S, MC 2S",Yes,No,Yes,No,Yes,Yes,,,,,,,"$2,974","$3,599",N/A,N/A,"$2,649","$3,314",N/A,Yes,"Unlimited access: Aspen Mountain, Aspen Highlands, Snowmass, Buttermilk; Includes Ikon Base Pass - view access here"
Steamboat,U.S. - Colorado,"3,668",,,"3,741",313,Yes,,Alterra ,2017,"2,500",,,,Ikon,Ikon U | Base 5B | Session B,Yes,No,Yes,No,Yes,Yes,,"$1,329","$1,329","$1,229",N/A,YES (3/31),"$1,249","$1,359","$1,149 (ended)",N/A,"$1,159","$1,309",Y-select mtns,Yes,Access details here
Sunlight,U.S. - Colorado,"2,010",,,730,250,Yes,,Independent,,440,,,,"Indy, Freedom","Indy+ 2, Indy Base 2, Freedom 3",Yes,No,Yes,No,Yes,Yes,,$586,$586,NO,5/31,1 DAY,$539,$539,N/A,5/31,$569,$699,N/A,No,View reciprocal partners here.
